City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
189,Tekeli,KZ,44.83,78.8239,27.55,59,71,7.72,broken clouds
190,Nambour,AU,-26.6333,152.95,73.11,83,8,1.99,clear sky
191,New Norfolk,AU,-42.7826,147.0587,53.92,61,100,3.0,overcast clouds
192,Haines Junction,CA,60.7522,-137.5108,19.35,93,100,1.14,overcast clouds
193,Xining,CN,36.6167,101.7667,28.4,92,100,1.5,overcast clouds
194,Faanui,PF,-16.4833,-151.75,77.61,78,86,4.12,light rain
195,Ulkan,RU,57.243,107.3223,23.56,88,97,10.4,overcast clouds
196,Dicabisagan,PH,17.0818,122.4157,77.74,90,6,4.81,clear sky
197,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,10.36,broken clouds
198,Pokhara,NP,28.2333,83.9833,55.96,50,2,6.82,clear sky
199,Aksay,RU,47.26,39.87,45.25,67,5,5.01,clear sky
200,Pacific Grove,US,36.6177,-121.9166,62.55,64,0,7.0,clear sky
201,Iranshahr,IR,27.2025,60.6848,70.14,30,0,4.61,clear sky
202,Weinan,CN,34.5036,109.5089,47.64,80,100,10.42,overcast clouds
203,Merauke,ID,-8.4667,140.3333,79.14,78,93,11.25,overcast clouds
204,Kahului,US,20.8947,-156.47,84.22,60,40,19.57,scattered clouds
205,Juneau,US,58.3019,-134.4197,37.22,97,100,9.22,light rain
206,Punta De Piedra,VE,7.6176,-71.4916,79.48,85,91,2.75,overcast clouds
207,Tambopata,PE,-12.7333,-69.1833,91.29,52,20,6.91,few clouds
208,Gotsu,JP,35.0,132.2167,58.05,75,1,6.24,clear sky
209,Graaff-Reinet,ZA,-32.2522,24.5308,69.44,60,43,6.06,scattered clouds
210,Novyy Svit,UA,47.8059,38.0211,40.57,86,37,1.77,scattered clouds
211,Hilo,US,19.7297,-155.09,80.11,76,75,11.5,light rain
212,Masalli,KR,34.7959,126.6553,56.88,92,0,6.35,clear sky
213,Bay Roberts,CA,47.5999,-53.2648,40.05,83,96,5.01,overcast clouds
214,Robertson,US,36.5167,-86.8667,71.58,65,20,13.8,few clouds
215,Mangai,CD,-4.05,19.5333,68.58,99,100,1.21,light rain
216,Hovd,MN,48.0056,91.6419,19.15,43,99,1.57,overcast clouds
217,Pandan Niog,PH,6.2282,120.5631,82.6,74,29,3.49,scattered clouds
218,Harper,LR,4.375,-7.7169,77.5,85,95,5.48,overcast clouds
219,Batagay-Alyta,RU,67.8006,130.4114,-9.29,99,100,0.27,overcast clouds
220,Ghanzi,BW,-21.5667,21.7833,67.57,85,95,14.12,moderate rain
221,Clyde River,CA,70.4692,-68.5914,-7.37,71,0,9.22,clear sky
222,Fortuna,US,40.5982,-124.1573,58.66,70,60,5.99,broken clouds
223,Barranca,PE,-10.75,-77.7667,66.33,76,17,10.45,few clouds
224,Chicama,PE,-7.8447,-79.1469,63.14,71,30,9.19,scattered clouds
225,Coronado,US,32.6859,-117.1831,75.47,32,75,11.5,broken clouds
226,Ostrovnoy,RU,68.0531,39.5131,37.42,97,100,15.57,overcast clouds
227,Khandyga,RU,62.6667,135.6,3.31,96,100,6.24,light snow
228,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,20,2.3,few clouds
229,Mitchell,US,43.7094,-98.0298,22.73,68,100,24.16,overcast clouds
230,Grand Gaube,MU,-20.0064,57.6608,72.0,74,24,3.0,few clouds
231,Lichtenburg,ZA,-26.152,26.1597,59.97,91,99,11.12,overcast clouds
232,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,68,20,6.91,few clouds
233,Talnakh,RU,69.4865,88.3972,-9.56,94,41,6.51,scattered clouds
234,Kodiak,US,57.79,-152.4072,42.31,93,40,3.44,scattered clouds
235,Coihaique,CL,-45.5752,-72.0662,63.21,51,75,10.36,broken clouds
236,Kozhva,RU,65.1073,57.0459,16.11,97,100,1.25,overcast clouds
237,Libertador General San Martin,AR,-23.8064,-64.7876,88.54,39,24,6.73,few clouds
238,San Jose,US,37.3394,-121.895,63.86,51,100,3.0,overcast clouds
239,Itoman,JP,26.1247,127.6694,77.77,96,20,12.66,few clouds
240,Provideniya,RU,64.3833,-173.3,15.67,67,1,7.38,clear sky
241,Ormoz,SI,46.4114,16.1544,52.43,93,99,2.84,overcast clouds
242,Encruzilhada,BR,-15.5314,-40.9094,71.58,85,99,6.91,overcast clouds
243,Gebre Guracha,ET,9.8,38.4,51.08,72,81,4.36,broken clouds
244,Madera,US,37.1666,-119.8343,64.76,52,100,3.0,overcast clouds
245,Saldanha,ZA,-33.0117,17.9442,59.13,92,0,8.7,clear sky
246,Tilichiki,RU,60.4667,166.1,13.05,90,100,8.3,overcast clouds
247,Rumford,US,44.5537,-70.5509,67.03,88,100,2.46,overcast clouds
248,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.32,90,100,11.95,overcast clouds
249,Tarko-Sale,RU,64.9225,77.785,7.7,84,100,12.62,overcast clouds
250,Nieves,PH,15.3274,120.9485,80.11,90,30,2.51,scattered clouds
251,Punta Gorda,US,26.9298,-82.0454,82.44,78,20,12.66,volcanic ash
252,Salalah,OM,17.0151,54.0924,78.89,65,0,4.61,clear sky
253,Jashpurnagar,IN,22.9,84.15,58.08,73,1,5.57,clear sky
254,Tahta,EG,26.7693,31.5021,65.98,46,0,6.8,clear sky
255,Grindavik,IS,63.8424,-22.4338,41.47,93,75,6.91,broken clouds
256,Avera,US,33.194,-82.5271,67.55,94,100,15.79,overcast clouds
257,Antropovo,RU,58.3988,43.0066,43.07,88,100,14.63,light rain
